,index,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,state
1275,1275,PRESBYTERIAN SANTA FE MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,35.6165864,-106.0251239,4801 BECKNER ROAD,SANTA FE,False,43.0,78.51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New Mexico
1276,1276,SINAI HOSPITAL OF BALTIMORE,Voluntary non-profit - Private,Acute Care Hospitals,39.354645,-76.66233,2401 WEST BELVEDERE AVENUE,BALTIMORE,True,72.0,3606.0,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Maryland
1277,1277,BRONSON METHODIST HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,42.286165,-85.581333,601 JOHN STREET,KALAMAZOO,True,71.0,3970.8,4,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Michigan
1278,1278,ST VINCENT'S ST CLAIR,Voluntary non-profit - Private,Acute Care Hospitals,33.605568,-86.30238,7063 VETERANS PARKWAY,PELL CITY,True,58.0,164.0,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Alabama
1279,1279,CHRISTUS OCHSNER ST PATRICK HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,30.215437,-93.22767,524 DR MICHAEL DEBAKEY STREET,LAKE CHARLES,True,76.0,702.12,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Louisiana
1280,1280,WELLSTAR KENNESTONE HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,33.968128,-84.551241,677 CHURCH STREET,MARIETTA,True,87.0,4271.2,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Georgia
1281,1281,SAINT ANTHONY MEDICAL CENTER,Voluntary non-profit - Church,Acute Care Hospitals,42.265778,-89.0073,5666 EAST STATE STREET,ROCKFORD,True,57.0,1984.14,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Illinois
1282,1282,BLUEFIELD REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,37.257517,-81.234129,500 CHERRY ST,BLUEFIELD,True,51.0,331.1,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,West Virginia
1283,1283,BATES COUNTY MEMORIAL HOSPITAL,Government - Local,Acute Care Hospitals,38.249611,-94.343391,615 W NURSERY ST,BUTLER,True,20.0,225.23,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Missouri
1284,1284,SANFORD CANTON-INWOOD MEDICAL CENTER - CAH,Voluntary non-profit - Private,Critical Access Hospitals,43.304944,-96.557249,440 NORTH HIAWATHA DRIVE,CANTON,True,35.0,72.64,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,South Dakota
1285,1285,SANFORD VERMILLION HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,42.778635,-96.919918,20 SOUTH PLUM STREET,VERMILLION,True,29.0,185.04,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,South Dakota
1286,1286,TRISTAR SUMMIT MEDICAL CENTER,Proprietary,Acute Care Hospitals,36.177999,-86.606015,5655 FRIST BLVD,HERMITAGE,True,76.0,840.35,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Tennessee
1287,1287,TANNER MEDICAL CENTER VILLA RICA,Government - Hospital District or Authority,Acute Care Hospitals,33.742992,-84.919477,601 DALLAS HIGHWAY,VILLA RICA,True,87.0,673.69,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Georgia
1288,1288,MERCY HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,35.373323,-119.027386,2215 TRUXTUN AVENUE,BAKERSFIELD,True,52.0,1272.41,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Above the national average,Not Available,California
1289,1289,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,29.613207,-98.478493,18600 NORTH HARDY OAK BLVD,SAN ANTONIO,True,27.0,113.19,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,Texas
1290,1290,SANFORD ABERDEEN MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,45.46214,-98.447237,2905 3RD AVE SE,ABERDEEN,True,21.0,357.58,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,South Dakota
1291,1291,SNOQUALMIE VALLEY HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,47.512309,-121.885917,9801 FRONTIER AVE SE,SNOQUALMIE,True,91.0,200.25,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Washington
1292,1292,WICKENBURG COMMUNITY HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,33.978056,-112.738825,520 ROSE LANE,WICKENBURG,True,15.0,144.65,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Below the national average,Arizona
1293,1293,SOUTHEASTERN REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,33.386391,-84.757419,600 CELEBRATE LIFE PARKWAY,NEWNAN,False,47.0,789.77,3,Not Available,Below the national average,Not Available,Above the national average,Below the national average,Not Available,Not Available,Georgia
1294,1294,TRISTAR HENDERSONVILLE MEDICAL CENTER,Proprietary,Acute Care Hospitals,36.324156,-86.620198,355 NEW SHACKLE ISLAND RD,HENDERSONVILLE,True,55.0,509.18,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Tennessee
1295,1295,PAGE HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,36.91696,-111.463186,501 NORTH NAVAJO DRIVE,PAGE,True,13.0,94.92,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Above the national average,Same as the national average,Arizona
1296,1296,ARKANSAS SURGICAL HOSPITAL,Proprietary,Acute Care Hospitals,34.801458,-92.347687,5201 NORTH SHORE DRIVE,NO LITTLE ROCK,True,38.0,210.96,Not Available,Not Available,Above the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,Arkansas
1297,1297,GRAND RIVER MEDICAL CENTER,Government - Hospital District or Authority,Critical Access Hospitals,39.522587,-107.77201,501 AIRPORT RD,RIFLE,True,43.0,511.25,4,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Same as the national average,Not Available,Colorado
1298,1298,CASSIA REGIONAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,42.534204,-113.783419,1501 HILAND AVENUE,BURLEY,True,38.0,276.31,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Idaho
1299,1299,ANTELOPE VALLEY HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,34.689371,-118.158476,1600 W AVE J,LANCASTER,True,60.0,2122.24,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,California
1300,1300,LITTLE COMPANY OF MARY HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,41.720902,-87.691966,2800 W 95TH ST,EVERGREEN PARK,True,63.0,1398.96,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Illinois
1301,1301,PARKVIEW HUNTINGTON HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.905739,-85.490603,2001 STULTS RD,HUNTINGTON,True,38.0,220.0,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Indiana
1302,1302,PARKVIEW WHITLEY HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,41.160261,-85.466571,1260 E SR 205,COLUMBIA CITY,True,46.0,254.0,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Indiana
1303,1303,PARKVIEW NOBLE HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,41.448459,-85.29478,401 SAWYER RD,KENDALLVILLE,True,45.0,207.0,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Indiana
1304,1304,CAROMONT REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,35.274593,-81.143023,2525 COURT DR,GASTONIA,True,77.0,2664.25,2,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,North Carolina
1305,1305,UNIVERSITY OF MD LAUREL REGIONAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,39.084742,-76.881591,7300 VAN DUSEN ROAD,LAUREL,True,41.0,365.39,1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Maryland
1306,1306,CALVERTHEALTH MEDICAL CENTER,Voluntary non-profit - Other,Acute Care Hospitals,38.558601,-76.597788,100 HOSPITAL ROAD,PRINCE FREDERICK,True,80.0,786.93,4,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Maryland
1307,1307,HCA HOUSTON HEALTHCARE TOMBALL,Proprietary,Acute Care Hospitals,30.088703,-95.623985,605 HOLDERRIETH,TOMBALL,True,57.0,754.23,1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Texas
1308,1308,MEDICAL CENTER OF SOUTH ARKANSAS,Proprietary,Acute Care Hospitals,33.218378,-92.67103,700 WEST GROVE STREET,EL DORADO,True,31.0,334.69,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Arkansas
1309,1309,LIBERTY HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,39.276757,-94.424343,2525 GLENN HENDREN DR,LIBERTY,True,44.0,1390.83,3,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Missouri
